dialogue,label,meta,scenario_type,scenario_relationship,scenario_context,participants
"어 지금 어디야
나 운동 끝나고 지하철 타고 가는 중이야
아 그래 나도 지금 가는 중
우리 역 근처에서 만나자
좋아 그럼 거기서 보자
음료 뭐 마실래
나는 그냥 아이스 아메리카노면 돼
오케이 나도 비슷하게 할게
하하 오늘 운동 어땠어
아 너무 빡셌어 근데 재밌었어
맞아 나도 진짜 오랜만에 운동해서 그런가 힘들었어
다음 주에도 같이 하자
좋아 나중에 봐
응 곧 보자",0,"{'conversation_type': 'casual_normal', 'relationship': '동료', 'context': '운동 후 회식', 'tone': '편안함', 'topic': '운동 후 음료', 'emotion': '즐거움', 'call_environment': '이동 중', 'participants': ['백하율', '이지유']}",동료 운동 후 뒷풀이,동료,운동 후 간단한 음료 회식,
"지금 근처 카페에 앉았어
응 나도 이제 도착했어
운동하니까 기분 좋지 않아
맞아 몸이 좀 풀리는 느낌이야
우리 뭐 마실까
나는 오늘 에이드 땡긴다
좋네 그럼 같이 시킬까
그래 같이 시켜
g 그럼 자리 잡아보고 시킬게
조용하니까 좋다
그러게 이렇게 조용한 데에서 쉬니까 좋네
다음에 또 이렇게 오면 좋겠다
응 운동 후에는 이런 시간도 필요한 것 같아",0,"{'conversation_type': 'casual_normal', 'relationship': '동료', 'context': '운동 후 뒷풀이', 'tone': '편안함', 'topic': '운동 후 음료', 'emotion': '즐거움', 'call_environment': '조용한 공공장소', 'participants': ['한지호', '우하린']}",동료 운동 후 뒷풀이,동료,운동 후 간단한 음료 회식,
"안녕하세요 거기 카페 맞나요
네 맞습니다 무엇을 도와드릴까요
저 이번 주말에 테이블 예약 가능할까요
잠시만요 지금 버스 타고 있어서요
아 네 가능합니다 몇 시에 오실 건가요
음 토요일 오후 2시쯤 가능한가요
네 가능해요 인원은 몇 분이실까요
총 네 명입니다
알겠습니다 예약 완료했습니다
감사합니다 그럼 주말에 뵐게요
네 감사합니다 좋은 하루 되세요",0,"{'conversation_type': 'casual_normal', 'relationship': '고객', 'context': '테이블 예약', 'tone': '공손함', 'topic': '카페 좌석 예약', 'emotion': '즐거움', 'call_environment': '이동 중', 'participants': ['한지안', '이지우']}",카페 좌석 예약 문의,고객-업체,테이블 예약 가능 여부 확인,
"안녕하세요 카페 예약 문의하려고 전화드렸어요
네 안녕하세요 무엇을 도와드릴까요
이번 주말에 테이블 예약이 가능한지 궁금해서요
잠시만요 확인해보겠습니다
감사합니다 지금 조용한 곳에서 통화 중이라 제 목소리 작게 들릴 수도 있어요
네 괜찮습니다 이 주말에는 자리가 몇 개 남아있습니다
그럼 토요일 오후 2시쯤 예약할 수 있을까요
네 가능합니다 성함과 연락처 부탁드립니다
네 성함만 확인할게요
제 이름은 안 드리는 게 좋죠 여기까지 말씀드릴게요
네 알겠습니다 예약해드리겠습니다
감사합니다 그럼 토요일에 뵐게요
네 감사합니다 좋은 하루 보내세요",0,"{'conversation_type': 'casual_normal', 'relationship': '고객-업체', 'context': '테이블 예약 문의', 'tone': '공손함', 'topic': '카페 좌석 예약', 'emotion': '평온함', 'call_environment': '조용한 공공장소', 'participants': ['이서하', '차도현']}",카페 좌석 예약 문의,고객-업체,테이블 예약 가능 여부 확인,
"야 뭐해
어 나 지금 걷는 중이야
오 그래 나는 버스 타고 가는 길이야
그래 바람도 불고 좋네
너 요즘 뭐 재밌는 거 없어
나 최근에 요가 시작했어
진짜 요가 요즘 인기 많다
맞아 근데 생각보다 힘들더라
어려운데 재미도 있지
응 마음이 진정되는 느낌이랄까
그래서 나도 해볼까 고민 중이었어
같이 해보자 나랑 센터 갈래
좋지 언제 시간 돼
이번 주말 어때
오케이 그럼 주말에 보자
그래 조심히 가",0,"{'conversation_type': 'casual_normal', 'relationship': '친구', 'context': '취미 공유', 'tone': '즐거움', 'topic': '최근 시작한 취미', 'emotion': '즐거움', 'participants': ['우재윤', '조민서'], 'call_environment': '이동 중'}",친구 취미 공유,친구,최근 시작한 취미 공유,
"야 요즘 뭐 재밌는 거 없냐
음 나 요즘 그림 그리기 시작했어
진짜 대박이다 그림이라니
원래 조금씩 그렸는데 이제 본격적으로 배우고 있어
근데 왜 갑자기 그림이야
그냥 조용히 집중하는 게 좋더라고
그렇긴 하지 나도 그런 거 하고 싶긴 한데
너도 한번 해봐 요즘 유튜브에도 강의 많더라
찾아봐야겠다 일단은 머리 식히려고
맞아 맞아 조용히 해야지 크크
담에 만나서 내가 그린 거 보여줄게
오 좋다 기대된다
그럼 연락할게 나 공부 좀 하려구
그래 나중에 보자",0,"{'conversation_type': 'casual_normal', 'relationship': '친구', 'context': '취미 공유', 'tone': '즐거움', 'topic': '최근 시작한 취미', 'emotion': '즐거움', 'call_environment': '조용한 공공장소', 'participants': ['장준혁', '구유진']}",친구 취미 공유,친구,최근 시작한 취미 공유,
"야 뭐해
집에서 쉬고 있어 넌
나도 집이야 근데 있잖아
왜 뭐 또 재밌는 거 찾았어
응 요새 진짜 괜찮은 온라인 강의 발견했어
오 뭐야 어떤 강의야
전 세계의 이상한 습관에 대해 설명하는 강의인데 너무 유익하더라고
와 그거 진짜 재밌겠다 어디서 보는 건데
인터넷에서 무료로 볼 수 있어 내가 링크 보내줄게
고마워 나중에 시간 나면 바로 봐야겠다
그래 꼭 봐봐
알았어 소개해줘서 고마워
별거 아냐 그럼 나중에 봐
응 나중에 연락해",0,"{'conversation_type': 'casual_normal', 'relationship': '가족', 'context': '재밌는 온라인 강의 추천', 'tone': '다정함', 'topic': '온라인 강의', 'emotion': '즐거움', 'call_environment': '조용한 실내', 'participants': ['최지유', '문시우']}",가족 온라인 강의 추천,가족,재밌는 온라인 강의 추천,
"야 뭐해
어 나 카페에 있어
거기 시끄럽네
응 좀 시끄럽긴 하다 너는
그냥 집에 있어
있잖아 내가 재밌는 온라인 강의 찾았어
오 그래 무슨 강의
음 그러니까 말이야 그게 외국어 배우는 강의인데 꽤 재밌어 보여
외국어라 뭐 배우고 싶은데
나는 일본어 좀 더 배우고 싶더라고
오 좋다 일본어 재밌지
맞아 맞아 한번 들어보려고 하는데 너도 같이 할래
좋지 같이 하면 더 재밌겠네
응 나중에 링크 보내줄게
오케이 기대할게
그럼 나중에 조용한 데서 다시 얘기하자
알았어 나중에 봐
응 조심히 들어가",0,"{'conversation_type': 'casual_normal', 'relationship': '가족', 'context': '재밌는 온라인 강의 추천', 'tone': '다정함', 'topic': '온라인 강의', 'emotion': '즐거움', 'call_environment': '시끄러운 실내', 'participants': ['노하린', '민수빈']}",가족 온라인 강의 추천,가족,재밌는 온라인 강의 추천,
"어 지금 점심시간인데 뭐 먹을지 정했어
아직 못 정했어 근데 여기 되게 시끄럽네
그래서 다들 뭐 먹을지 투표하는 중이야
음 그러면 뭐가 후보야
일단 피자랑 중국집이랑 한식집 얘기 나왔어
오 나는 다른 건 다 괜찮은데 한식집 가고 싶어
한식집 좋은 생각이야 나도 그렇게 할까 하다가
그러게 나도 한식이 좋을 것 같아 하하
그럼 한식집으로 투표할게
오케이 그럼 우리 한식집으로 가자
알겠어 나중에 보자 퇴근하고 같이 가는 거지
응 그렇지 그때 같이 가자",0,"{'conversation_type': 'casual_normal', 'relationship': '동료', 'context': '점심 메뉴 투표', 'tone': '편안함', 'topic': '오늘 점심 메뉴 투표', 'emotion': '즐거움', 'call_environment': '시끄러운 실내', 'participants': ['박승현', '김우빈']}",동료 점심 메뉴 투표,동료,오늘 점심 메뉴 투표 참여,
"점심 시간 다가오네
어 그러게 뭐 먹을까 고민 중이야
오늘 메뉴 투표 들어왔잖아
아 맞다 뭐뭐 있지
비빔밥이랑 치킨인가 그랬던 거 같은데
음 비빔밥 나쁘지 않은데
그치 나도 괜찮아 보여
조용히 해야 되니까 점심 메뉴 얘기만 하자
좋아 여기서도 맛있겠다
응 오전에는 조용해서 좋아
그래 그럼 비빔밥에 한 표 던질까
좋아 결정됐어
우리는 비빔밥으로
오케이 점심 맛있게 먹자
그래 그럼 이따가 봐",0,"{'conversation_type': 'casual_normal', 'relationship': '동료', 'context': '점심 메뉴 투표 참여', 'tone': '편안함', 'topic': '점심 메뉴 투표', 'emotion': '즐거움', 'call_environment': '조용한 공공장소', 'participants': ['서하준', '우지안']}",동료 점심 메뉴 투표,동료,오늘 점심 메뉴 투표 참여,
"안녕하세요 거기 상품 문의 가능한가요
네 말씀하세요 어떤 상품에 대해 궁금하신가요
저기 지난주에 주문한 가전제품 말인데요
그렇군요 주문번호나 전화번호 뒷자리 알려주시면 확인 도와드릴게요
주문번호가 20231015입니다
감사합니다 잠시만 기다려 주세요
네 알겠습니다
확인해 보니 배송은 완료된 상태로 보입니다
아 그래요 그럼 혹시 제품이 이상이 있으면 어떻게 해야 하나요
기본적으로 14일 이내에 반품 및 교환이 가능합니다
아 알겠어요 다행이네요
다른 궁금한 점은 없으신가요
아니요 친절히 답변해 주셔서 감사합니다
네 감사합니다 좋은 하루 되세요",0,"{'conversation_type': 'casual_normal', 'relationship': '고객-업체', 'context': '상품 관련 문의', 'tone': '친절함', 'topic': '제품 배송 및 반품 정책', 'emotion': '중립', 'call_environment': '조용한 실내', 'participants': ['류연우', '양승호']}",온라인 고객센터 문의,고객-업체,상품 관련 문의,
"안녕하세요 거기 고객센터 맞죠
네 맞습니다 무엇을 도와드릴까요
제가 지난주에 주문한 상품이 아직 도착하지 않아서요
아 네 주문번호나 연락처 뒷자리 4자리만 알려주시면 확인해드리겠습니다
잠시만요 연락처 뒷자리 5678입니다
네 잠시만 기다려 주세요 확인해 볼게요
네 고맙습니다
확인해보니 배송 중이라고 나오네요 이틀 내로 도착할 예정입니다
아 그렇군요 감사합니다 기다리면 되는 거죠
네 맞습니다 혹시 다른 문의사항 있으시면 언제든지 연락주세요
네 고맙습니다 좋은 하루 보내세요
감사합니다 고객님도요 안녕히 계세요",0,"{'conversation_type': 'casual_normal', 'relationship': '고객-업체', 'context': '상품 관련 문의', 'tone': '친절함', 'topic': '상품 배송 조회', 'emotion': '친절함', 'call_environment': '조용한 공공장소', 'participants': ['노도윤', '홍태현']}",온라인 고객센터 문의,고객-업체,상품 관련 문의,
"야 뭐해
그냥 집인데 너
나도 집이야 어제 본 영화 얘기하려고
아 그거 어땠어
진짜 재밌었어 액션 장면이 대박이더라고
그래 나도 액션 영화 좋아하는데
나중에 같이 보면 좋겠다
그러자 영화관 가자
좋아 시간 맞춰보자
음 주말에 어때
주말 좋아 오케이 그럼

지금 뭐 하고 있어
음 그냥 쉬면서 티비 보고 있었어
편안하게 보내고 있네
응 조용하니까 좋네",0,"{'conversation_type': 'casual_normal', 'relationship': '친구', 'context': '영화 감상 후기 공유', 'tone': '즐거움', 'topic': '최근 영화 감상 후기', 'emotion': '즐거움', 'call_environment': '조용한 실내', 'participants': ['김서우', '오준우']}",친구 영화 감상 후기 공유,친구,최근 영화 감상 후기 공유,
"야 뭐해
나 지금 밖에 나와 있어
오 뭐하고 있는데
바람 좀 쐬려고 걷는 중이야
아 그렇구나 어제 너 영화 봤다면서 어땠어
진짜 재밌었어 내가 기대했던 것보다 훨씬 좋았어
그니까 대박이라며 주인공 연기 어땠어
와 진짜 몰입감 최고였어 연기를 너무 잘하더라 하하
아 진짜 보러 가야겠다
꼭 봐봐 근데 스포는 안 할게 너도 보면 알 거야
고마워 추천해줘서 그럼 나중에 보자고
그래 얼른 보러 가 나중에 얘기하자
오케이 연락할게",0,"{'conversation_type': 'casual_normal', 'relationship': '친구', 'context': '최근 영화 감상 후기 공유', 'tone': '즐거움', 'topic': '영화 감상 후기를 주고받음', 'emotion': '즐거움', 'call_environment': '실외', 'participants': ['송하영', '구태윤']}",친구 영화 감상 후기 공유,친구,최근 영화 감상 후기 공유,
"어 지금 밖에 나와 있어
어 나도 밖이야 바람 불어 시원하다
그러게 요즘 날씨 진짜 좋지
그래서 있잖아 우리 가족 기념일 이번에 어떻게 할까
음 일단 다 같이 모이면 좋겠지
맞아 작년처럼 가족끼리 모여서 식사하면 좋을 것 같아
어디로 갈까 이번엔 새로운 곳 가는 것도 재밌을 것 같아
오 그런 생각 좋아 근데 다들 좋아하는 거 있으면 더 좋지 않을까
그렇지 바람도 쐬면서 말이야
그러면 근처에 공원 있는 식당 알아볼까
그래 거기서 식사하고 나중에 산책도 하면 좋겠다
오케이 그러면 식당 좀 찾아볼게
응 고마워 그럼 다 같이 모일 시간도 정해야겠다
주말에 다들 괜찮을까
응 주말 낮에 다들 시간될 것 같아
좋아 내가 엄마한테도 얘기해볼게
응 그럼 만나서 즐겁게 보내자",0,"{'conversation_type': 'casual_normal', 'relationship': '가족', 'context': '가족 기념일 행사 계획', 'tone': '다정함', 'topic': '가족 기념일 축하 계획', 'emotion': '즐거움', 'call_environment': '실외', 'participants': ['류은우', '류하민']}",가족 기념일 축하 계획,가족,가족 기념일 행사 계획,
"야 뭐해 지금
나 카페인데 좀 시끄러워
아 거기 시끄럽네
그러니까 말이야 잠깐만 조용한 데로 나갈게
오케이
음 이제 괜찮아 뭐라고 했더라 아 맞다 가족 기념일 얘기하려고
그렇지 이번에 어디에서 할지 결정했어
아직 못했어 근데 엄마랑 얘기해보니까 작은 식당 빌리는 게 좋을 것 같대
오 좋다 그러면 날짜를 언제로 할까
이번 주말 어때 나는 괜찮아
주말 좋지 그럼 메뉴는 뭐로 할까
음 엄마가 한식 코스 좋아하시잖아 그걸로 하면 되지 않을까
맞아 맞아 나도 그거 생각했어
그럼 그걸로 결정하고 예약은 내가 할게
알았어 그래줘서 고마워
다 같이 모이면 재밌겠다
그러게 진짜 기대돼
그럼 나중에 봐 연락할게
오케이 잘 들어가고 나중에 봐",0,"{'conversation_type': 'casual_normal', 'relationship': '가족', 'context': '가족 기념일 행사 계획', 'tone': '다정함', 'topic': '가족 기념일 축하 계획', 'emotion': '즐거움', 'call_environment': '시끄러운 실내', 'participants': ['양진우', '유지후']}",가족 기념일 축하 계획,가족,가족 기념일 행사 계획,
"어 잠깐 커피 마시고 있어
오 나도 그래서 잠깐 쉬고 싶더라
어우 진짜 요즘 일 너무 바쁘지 않냐
맞아 그래서 좀 숨 돌리고 싶어
그게 우리 일이 좀 그렇잖아 계속 쫓기고
그러니까 하면서도 좀 많이 신경쓰이고
음 그래도 지금 이 시간에 커피 마시면서 수다 떠는 게 제일 좋네
맞아 맞아 이런 시간이 없으면 진짜 버티기 힘들어
크크 그러게 말이야 우리 나중에 시간 되면 밖에서 한 번 보자
그럼 좋지 주말에 어때
오케이 그럼 그렇게 하자
알았어 그럼 이따가 다시 얘기해",0,"{'conversation_type': 'casual_normal', 'relationship': '동료', 'context': '잠깐 쉬면서 커피 마시기', 'tone': '편안함', 'topic': '커피 타임', 'emotion': '즐거움', 'call_environment': '조용한 실내', 'participants': ['남채윤', '심지우']}",동료와 커피 타임,동료,잠깐 쉬면서 커피 마시기,
"어 지금 밖에 나와 있어
응 바람 불어서 좋아
잠깐 커피 한 잔 할래
좋지 나도 조금 쉬고 싶었어
어디가 좋아
근처 공원 어때
좋아 그럼 거기서 보자
음 오랜만에 이런 여유도 좋네
그러게 바람도 선선하고 기분 좋다
그러니까 말이야 이런 날씨엔 커피가 딱이지
하하 맞아
그럼 이따가 거기서 보자
응 이따 봐",0,"{'conversation_type': 'casual_normal', 'relationship': '동료', 'context': '잠깐 쉬면서 커피 마시기', 'tone': '편안함', 'topic': '커피 타임', 'emotion': '즐거움', 'call_environment': '실외', 'participants': ['신현우', '한유나']}",동료와 커피 타임,동료,잠깐 쉬면서 커피 마시기,
"안녕하세요 거기 온라인 스토어 맞나요
네 맞습니다 무엇을 도와드릴까요
제가 지난주에 주문한 상품 후기를 작성하려고 하는데 어떻게 하면 될까요
후기를 남기시려면 로그인을 하신 후 해당 상품 페이지로 가시면 됩니다
아 그렇군요 페이지를 찾을 수 없어서 물어봤어요
로그인 후 마이페이지에서 주문 내역을 확인하시면 빠릅니다
네 알려주셔서 감사합니다
별말씀을요 더 궁금한 점 있으시면 언제든지 연락 주세요
네 그럼 수고하세요
감사합니다 좋은 하루 되세요",0,"{'conversation_type': 'casual_normal', 'relationship': '고객-업체', 'context': '상품 후기 확인 문의', 'tone': '정중함', 'topic': '온라인 상품 리뷰', 'emotion': '중립', 'call_environment': '조용한 공공장소', 'participants': ['박지민', '유서윤']}",온라인 상품 리뷰 문의,고객-업체,상품 후기 확인 문의,
"안녕하세요 거기 온라인 스토어 맞죠
네 맞습니다 무엇을 도와드릴까요
제가 지난주에 구매한 제품 후기를 남겼는데 확인 가능할까요
네 가능하십니다 혹시 구매하셨던 상품명 말씀해주실 수 있을까요
음 그게 블루투스 스피커였거든요
아 그렇군요 잠시만요 확인해볼게요 네 고객님 후기가 잘 등록된 것 확인했습니다
다행이네요 혹시 평점도 잘 반영되었나요
네 평점도 정상적으로 반영되었습니다
감사합니다 혹시 다른 문의사항 있으면 또 연락드릴게요
네 감사합니다 좋은 하루 되세요
고맙습니다",0,"{'conversation_type': 'casual_normal', 'relationship': '고객-업체', 'context': '상품 후기 확인', 'tone': '정중함', 'topic': '상품 후기', 'emotion': '정중함', 'call_environment': '조용한 실내', 'participants': ['임예린', '곽지호']}",온라인 상품 리뷰 문의,고객-업체,상품 후기 확인 문의,
"야 뭐해
나 지금 걷는 중이야 너는
나도 걷고 있어 어디 가
주말에 등산하자고 했잖아 그것 때문에 생각해봤어
아 맞다 그거 완전 좋지
어디로 갈까 생각해본 데 있어
음 그러니까 하남에 있는 그 산 어때
오 거기 좋아 날씨 좋으면 진짜 예쁠 것 같아
맞아 그리고 그 근처에 맛집도 많대
하하 진짜 기대된다 우리 가서 맛있는 것도 먹자
정상에서 사진도 찍고
완전 좋지 그리고 내려오면 뭐 먹고 싶어
나는 그 근처 유명하다는 파스타집 가보고 싶다
오케이 그럼 그렇게 하자 시간은 몇 시에 만날래
아침 8시쯤에 출발하는 거 어때
좋아 그럼 그때 만나자
그래 조심해서 가
너도 연락해줘",0,"{'conversation_type': 'casual_normal', 'relationship': '친구', 'context': '약속 잡기', 'tone': '친근함', 'topic': '주말 만남', 'emotion': '즐거움', 'call_environment': '이동 중', 'participants': ['장예준', '류성현']}",친구 운동 약속,친구,주말 등산 계획,
"야 뭐해
지금 카페야 좀 시끄럽다
아 그래 내가 잘 들리니까 괜찮아
너 주말에 등산 가자
오 좋지 어디로 갈까
북한산 어때
대박 좋지 같이 가면 재밌겠다
근데 장비는 다 있나
나 등산화는 있는데 배낭이 없다
내가 배낭 빌려줄게 걱정 마
고마워 준비물은 뭘 준비할까
물하고 간단한 간식 챙기면 되지 않을까
어 그 정도면 될 것 같아
우리 몇 시에 출발할까
아침 일찍 만나야 시원하지 않을까
한 일곱 시쯤 만날래
좋아 그럼 그때 보자
나중에 봐 연락할게",0,"{'conversation_type': 'casual_normal', 'relationship': '친구', 'context': '약속 잡기', 'tone': '즐거움', 'topic': '주말 만남', 'emotion': '즐거움', 'call_environment': '시끄러운 실내', 'participants': ['장현준', '오민석']}",친구 운동 약속,친구,주말 등산 계획,
"야 뭐해
나 지금 친구랑 카페에 있어 뭐
그래서 좀 시끄럽네 아빠 뭐해
나? 집에서 쉬고 있어 근데 무슨 일이야
아빠 그거 기억해 건강검진 예약했나 해서
아 맞다 음 내가 날짜를 정확히 기억 안 해서 확인해볼게 잠시만
괜찮아 아빠 천천히 해
음 그러니까 금요일 오전 열시에 예약했어
오케이 그럼 그 시간이네 알았어 같이 가자
그래 항상 같이 다니니까 편하더라
맞아 아빠 하하 그럼 나중에 봐
그래 조심히 놀다 와
응 알겠어",0,"{'conversation_type': 'casual_normal', 'relationship': '가족', 'context': '정기 건강검진 날짜 확인', 'tone': '다정함', 'topic': '건강검진 일정', 'emotion': '즐거움', 'call_environment': '시끄러운 실내', 'participants': ['홍도윤', '문유나']}",가족 건강검진 일정 확인,가족,정기 건강검진 날짜 확인,
"야 뭐해
어 그냥 집인데
아 지금 카페에서 전화하는 중이야 좀 시끄러워서 미안
괜찮아 잘 들려
다름이 아니라 그 건강검진 날짜 언제였지
아 그거 말이야 다음 주 화요일이었던 것 같아
음 화요일이라 기억해둘게
내가 거기 병원에 예약 확인 좀 해줄까
어 그래주면 좋겠다 하하
잠깐만 기다려봐 카페가 너무 시끄러워서 잘 안 들리네
천천히 해
그래서 화요일이라고 했지 맞지
어 맞아 근데 정확하게 확인하고 말해줄게
고마워 꼭 좀 부탁할게
알았어 잠시 후에 문자로 알려줄게
응 항상 고마워
아니야 내일부터 잘 챙겨 먹고
알았어 너도 쉬어 너무 바쁘지 말고
오케이 연락할게 나중에 봐",0,"{'conversation_type': 'casual_normal', 'relationship': '가족', 'context': '정기 건강검진 일정 확인', 'tone': '다정함', 'topic': '건강검진 날짜 확인', 'emotion': '즐거움', 'call_environment': '시끄러운 실내', 'participants': ['전현준', '정현준']}",가족 건강검진 일정 확인,가족,정기 건강검진 날짜 확인,
"어 지금 어디야
나 지금 밖에 있어
날씨 좋지 않아
맞아 바람도 좀 불어
오늘 회식 장소 정해야지
어떤 곳 생각하고 있어
음 나는 밖에서 먹는 곳 괜찮을 것 같은데
그러네 그것도 좋다
혹시 저번에 갔던 바베큐 어때
아 그거 좋았지
날씨도 좋고
그럼 거기로 하자
오케이 그럼 시간 맞춰 가자
알겠어 그럼 이따 봐",0,"{'conversation_type': 'casual_normal', 'relationship': '동료', 'context': '회식 장소 결정', 'tone': '편안함', 'topic': '회식 장소 후보 논의', 'emotion': '즐거움', 'call_environment': '실외', 'participants': ['정지호', '유현서']}",동료 회식 장소 결정,동료,회식 장소 후보 논의,
"어 지금 시간 돼
어 나 지금 버스 타고 가는데 뭐야
회식 장소 정하려고
아 그 얘기구나 뭐 할까
음 저번에 갔던 그 고깃집 어때
아 그거 좋네 근데 좀 멀지 않아
그럼 회사 근처에 있는 데로 해볼까
그래 좋아 무슨 음식이 좋아
나는 뭐든 괜찮은데 해산물도 괜찮고
아 그러면 좀 찾아보고 연락할게
오케이 회사 도착하면 바로 말해줄게
알았어 조심히 와",0,"{'conversation_type': 'casual_normal', 'relationship': '동료', 'context': '회식 장소 후보 논의', 'tone': '편안함', 'topic': '회식 장소 결정', 'emotion': '즐거움', 'call_environment': '이동 중', 'participants': ['김도현', '전현우']}",동료 회식 장소 결정,동료,회식 장소 후보 논의,
"안녕하세요 거기 인터넷 쇼핑몰 맞죠
네 맞습니다 고객님 무엇을 도와드릴까요
다름이 아니라 제가 상품을 반품하려고 하는데 절차가 궁금해서요
네 반품 절차 안내해드리겠습니다 우선 주문번호가 있으실까요
주문번호요 잠시만요 음... 아 네 여기 있네요 123456입니다
확인했습니다 반품하실 제품을 포장하시고 주문서와 함께 동봉해주세요
네 그렇게 하면 되나요
네 그리고 반품 신청서를 작성해주시면 택배기사님이 방문하실 겁니다
오케이 그러면 택배기사님 오시면 드리면 되는 건가요
네 맞습니다 반품 처리 기간은 약 3일 정도 걸릴 수 있습니다
알겠습니다 감사합니다 그럼 그렇게 진행하겠습니다
네 감사합니다 고객님 좋은 하루 되세요",0,"{'conversation_type': 'casual_normal', 'relationship': '고객-업체', 'context': '상품 반품 절차 문의', 'tone': '공손함', 'topic': '온라인 반품 문의', 'emotion': '중립', 'call_environment': '실외', 'participants': ['문태현', '문민호']}",온라인 반품 문의,고객-업체,상품 반품 절차 문의,
"안녕하세요 여기 온라인 쇼핑몰 맞나요
네 맞습니다 무엇을 도와드릴까요
제가 최근에 구매한 상품을 반품하고 싶어서요 절차가 어떻게 되나요
네 반품 원하시는 상품의 주문번호를 알려주시면 확인 도와드리겠습니다
잠시만요 주문번호가 123456입니다
확인했습니다 반품 절차는 고객님 메일로 보내드린 링크에 따라 진행하시면 됩니다 반품 라벨을 출력해서 상품과 함께 포장해주세요
아 그럼 반품 신청하면 택배사가 와서 가져가나요
네 맞습니다 반품 신청 후 영업일 기준으로 하루 이틀 내에 택배사가 방문할 예정입니다
좋네요 그럼 문제가 될 만한 건 없겠군요
네 문제 없으실 겁니다 혹시 더 궁금한 점 있으시면 언제든지 연락 주세요
네 고맙습니다 그럼 이만 끊겠습니다 좋은 하루 보내세요
네 감사합니다 좋은 하루 되세요",0,"{'conversation_type': 'casual_normal', 'relationship': '고객-업체', 'context': '상품 반품 절차 문의', 'tone': '공손함', 'topic': '온라인 반품', 'emotion': '중립적', 'call_environment': '조용한 공공장소', 'participants': ['노승민', '고진우']}",온라인 반품 문의,고객-업체,상품 반품 절차 문의,
"야 뭐해
어 나 지금 걷는 중이야
아 그렇구나 나 온라인 게임 시작했는데 같이 할래
오 좋아 잠깐만 신호등에서 멈춰서 이야기 할게
괜찮아 뭐 해야 돼
이번 주말에 시간이 괜찮으면 같이 해볼까 했어
주말에 괜찮아 몇 시쯤 생각하고 있어
음 그러니까 저녁 7시쯤은
좋아 신호 바뀌었어 걷으면서 얘기할게
그래 나도 그 시간 괜찮을 것 같아 준비하고 있을게
오케이 그럼 주말에 확정되는 대로 알려줄게
알았어 연락할게 조심히 가
응 고마워 나중에 봐",0,"{'conversation_type': 'casual_normal', 'relationship': '친구', 'context': '게임 초대', 'tone': '즐거움', 'topic': '게임 초대 및 시간 조율', 'emotion': '즐거움', 'call_environment': '이동 중', 'participants': ['양유주', '류주원']}",친구 온라인 게임 초대,친구,게임 초대 및 시간 조율,
"야 뭐해
어 별거 없어 왜
오늘 저녁에 게임 같이 할래
오 좋지 몇 시쯤 할까
음 그게 말이야 일곱시쯤 어때
딱 좋다 그 시간에 맞출게
그럼 저녁 먹고 바로 시작하자
그래 준비되면 연락 줘
알았어 그때 보자",0,"{'conversation_type': 'casual_normal', 'relationship': '친구', 'context': '약속 잡기', 'tone': '친근함', 'topic': '게임 초대 및 시간 조율', 'emotion': '즐거움', 'call_environment': '조용한 실내', 'participants': ['박예린', '양수빈']}",친구 온라인 게임 초대,친구,게임 초대 및 시간 조율,
"어 지금 버스 타고 가는 중이야
너한테 전화하려고 했는데 잘 됐다
명절 음식 준비 어떻게 할지 얘기해보자
이번엔 조금씩 나눠서 하면 좋을 것 같아
맞아 작년에는 좀 바빴잖아
나는 이번에 전 좀 부쳐볼까
어 그럼 나는 나물 맡을게
좋아 그럼 명절 되기 전에 재료 미리 사 놓자
음 햇반도 좀 사둬야겠다
맞아 그리고 과일은 네가 괜찮으면 준비해줘
알았어 과일은 내가 할게
기대된다 벌써부터 맛있겠다
하하 그러게 그럼 나중에 봐",0,"{'conversation_type': 'casual_normal', 'relationship': '가족', 'context': '명절 음식 준비', 'tone': '다정함', 'topic': '명절 음식 준비 역할 분담', 'emotion': '즐거움', 'call_environment': '이동 중', 'participants': ['서수빈', '차예원']}",가족 명절 음식 준비 논의,가족,명절 음식 준비 역할 분담,
"음 안녕
어 안녕 잘 지내지
그럼 명절 준비 좀 해보려고
맞아 뭐부터 할까
우리 이번에 음식 좀 더 다양하게 할까 해
좋지 그럼 이번엔 내가 전 준비할게
오 좋아 나는 갈비찜 맡을게
가족들이 좋아하겠네
하하 그러게 전 종류는 뭐 할래
음 녹두랑 고기전 두 가지 할까
좋네 그럼 마트 가서 재료 사와야겠다
응 같이 가서 시간 맞춰보자
알았어 그럼 나중에 봐
그래 연락할게",0,"{'conversation_type': 'casual_normal', 'relationship': '가족', 'context': '명절 음식 준비', 'tone': '다정함', 'topic': '음식 준비 역할 분담', 'emotion': '즐거움', 'call_environment': '조용한 실내', 'participants': ['곽예준', '윤우빈']}",가족 명절 음식 준비 논의,가족,명절 음식 준비 역할 분담,
